Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 990301;;;1985.0;;;;;;160.0;;8 kW;450.0;широкая хромированная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 557054;;;1985.0;;;;;;160.0;;8 kW;450.0;шлифованная, полированная  стальная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 428864;;;1560.0;;;;;;160.0;;8 kW;510.0;черная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 851203;;;2575.0;;;;;;160.0;;8 kW;510.0;латунная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 187532;;;2625.0;;;;;;160.0;;8 kW;510.0;узкая золотая  
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 350090;;;2158.0;;;;;;160.0;;8 kW;510.0;широкая золотая  
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 611503;;;2625.0;;;;;;160.0;;8 kW;510.0;узкая хромированная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 418249;;;2158.0;;;;;;160.0;;8 kW;510.0;широкая хромированная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 574380;;;2158.0;;;;;;160.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 418568;;;1727.0;;;;;;160.0;;8 kW;570.0;черная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 59395;;;2575.0;;;;;;160.0;;8 kW;570.0;латунная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 245962;;;2625.0;;;;;;160.0;;8 kW;570.0;узкая золотая  
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 326015;;;2327.0;;;;;;160.0;;8 kW;570.0;широкая золотая  
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 590127;;;2625.0;;;;;;160.0;;8 kW;570.0;узкая хромированная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 623055;;;2327.0;;;;;;160.0;;8 kW;570.0;широкая хромированная 
SMART  1VR   ;;;Топки / Hajduk /  Smart;S 583371;;;2327.0;;;;;;160.0;;8 kW;570.0;шлифованная, полированная  стальная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 783741;;;2369.0;;;;;;180.0;;8 kW;450.0;черная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 195800;;;2575.0;;;;;;180.0;;8 kW;450.0;латунная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 400920;;;2625.0;;;;;;180.0;;8 kW;450.0;узкая золотая  
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 153329;;;2970.0;;;;;;180.0;;8 kW;450.0;широкая золотая  
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 768652;;;2625.0;;;;;;180.0;;8 kW;450.0;узкая хромированная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 972277;;;2970.0;;;;;;180.0;;8 kW;450.0;широкая хромированная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 27841;;;2970.0;;;;;;180.0;;8 kW;450.0;шлифованная, полированная  стальная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 82686;;;2540.0;;;;;;180.0;;8 kW;510.0;черная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 106013;;;2575.0;;;;;;180.0;;8 kW;510.0;латунная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 770706;;;2625.0;;;;;;180.0;;8 kW;510.0;узкая золотая  
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 98309;;;3140.0;;;;;;180.0;;8 kW;510.0;широкая золотая  
