Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
SMART  1VR   ;;;Серия Smart;S 956;;;2158.0;;;;;;160.0;;8 kW;510.0;широкая хромированная 
SMART  1VR   ;;;Серия Smart;S 790;;;2158.0;;;;;;160.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  1VR   ;;;Серия Smart;S 717;;;1727.0;;;;;;160.0;;8 kW;570.0;черная 
SMART  1VR   ;;;Серия Smart;S 329;;;2575.0;;;;;;160.0;;8 kW;570.0;латунная 
SMART  1VR   ;;;Серия Smart;S 420;;;2625.0;;;;;;160.0;;8 kW;570.0;узкая золотая  
SMART  1VR   ;;;Серия Smart;S 778;;;2327.0;;;;;;160.0;;8 kW;570.0;широкая золотая  
SMART  1VR   ;;;Серия Smart;S 814;;;2625.0;;;;;;160.0;;8 kW;570.0;узкая хромированная 
SMART  1VR   ;;;Серия Smart;S 519;;;2327.0;;;;;;160.0;;8 kW;570.0;широкая хромированная 
SMART  1VR   ;;;Серия Smart;S 510;;;2327.0;;;;;;160.0;;8 kW;570.0;шлифованная, полированная  стальная 
SMART  1VRh    ;;;Серия Smart;S 893;;;2369.0;;;;;;180.0;;8 kW;450.0;черная 
SMART  1VRh    ;;;Серия Smart;S 165;;;2575.0;;;;;;180.0;;8 kW;450.0;латунная 
SMART  1VRh    ;;;Серия Smart;S 433;;;2625.0;;;;;;180.0;;8 kW;450.0;узкая золотая  
SMART  1VRh    ;;;Серия Smart;S 904;;;2970.0;;;;;;180.0;;8 kW;450.0;широкая золотая  
SMART  1VRh    ;;;Серия Smart;S 626;;;2625.0;;;;;;180.0;;8 kW;450.0;узкая хромированная 
SMART  1VRh    ;;;Серия Smart;S 489;;;2970.0;;;;;;180.0;;8 kW;450.0;широкая хромированная 
SMART  1VRh    ;;;Серия Smart;S 202;;;2970.0;;;;;;180.0;;8 kW;450.0;шлифованная, полированная  стальная 
SMART  1VRh    ;;;Серия Smart;S 871;;;2540.0;;;;;;180.0;;8 kW;510.0;черная 
SMART  1VRh    ;;;Серия Smart;S 612;;;2575.0;;;;;;180.0;;8 kW;510.0;латунная 
SMART  1VRh    ;;;Серия Smart;S 689;;;2625.0;;;;;;180.0;;8 kW;510.0;узкая золотая  
SMART  1VRh    ;;;Серия Smart;S 175;;;3140.0;;;;;;180.0;;8 kW;510.0;широкая золотая  
SMART  1VRh    ;;;Серия Smart;S 972;;;2625.0;;;;;;180.0;;8 kW;510.0;узкая хромированная 
SMART  1VRh    ;;;Серия Smart;S 145;;;3140.0;;;;;;180.0;;8 kW;510.0;широкая хромированная 
SMART  1VRh    ;;;Серия Smart;S 414;;;3140.0;;;;;;180.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  1VRh    ;;;Серия Smart;S 568;;;2715.0;;;;;;180.0;;8 kW;570.0;черная 
SMART  1VRh    ;;;Серия Smart;S 606;;;2575.0;;;;;;180.0;;8 kW;570.0;латунная 
SMART  1VRh    ;;;Серия Smart;S 780;;;2625.0;;;;;;180.0;;8 kW;570.0;узкая золотая  
